offence,occurrenceyear,MCI,Division,Hood_ID,Neighbourhood,Long,Lat
Robbery - Mugging,2016.0,Robbery,D52,78,Kensington-Chinatown (78),-79.3935089,43.6560135
Assault,2016.0,Assault,D11,88,High Park North (88),-79.452713,43.6572876
Robbery - Purse Snatch,2016.0,Robbery,D32,32,Englemount-Lawrence (32),-79.4382401,43.7302818
B&E,2016.0,Break and Enter,D41,119,Wexford/Maryvale (119),-79.3105621,43.759903
B&E,2016.0,Break and Enter,D22,16,Stonegate-Queensway (16),-79.5087662,43.64085770000001
Theft Over - Shoplifting,2016.0,Theft Over,D51,77,Waterfront Communities-The Island (77),-79.37138370000002,43.6430626
B&E,2016.0,Break and Enter,D14,80,Palmerston-Little Italy (80),-79.41146090000002,43.6624298
Discharge Firearm With Intent,2016.0,Assault,D31,24,Black Creek (24),-79.51969150000002,43.7659111
Robbery With Weapon,2016.0,Robbery,D31,27,York University Heights (27),-79.50267029999998,43.7653809
Theft Over,2016.0,Theft Over,D41,124,Kennedy Park (124),-79.25560759999998,43.7350769
Assault - Force/Thrt/Impede,2016.0,Assault,D54,44,Flemingdon Park (44),-79.335228,43.7193336
Assault,2016.0,Assault,D14,95,Annex (95),-79.41398620000002,43.67214970000001
Robbery With Weapon,2016.0,Robbery,D31,27,York University Heights (27),-79.50267029999998,43.7653809
Robbery - Delivery Person,2016.0,Robbery,D55,62,East End-Danforth (62),-79.3001556,43.6839523
B&E,2016.0,Break and Enter,D23,4,Rexdale-Kipling (4),-79.5642776,43.7297096
Unlawfully In Dwelling-House,2016.0,Break and Enter,D11,91,Weston-Pellam Park (91),-79.4532547,43.670723
Assault,2016.0,Assault,D23,4,Rexdale-Kipling (4),-79.56716159999998,43.717556
Assault,2016.0,Assault,D32,36,Newtonbrook West (36),-79.4365463,43.7828865
Assault,2016.0,Assault,D41,120,Clairlea-Birchmount (120),-79.26812740000003,43.7070007
Assault With Weapon,2016.0,Assault,D51,71,Cabbagetown-South St.James Town (71),-79.3730621,43.6631927
Robbery - Purse Snatch,2016.0,Robbery,D13,108,Briar Hill-Belgravia (108),-79.4593353,43.695755
Assault,2016.0,Assault,D14,82,Niagara (82),-79.3997192,43.6349525
Assault,2016.0,Assault,D32,51,Willowdale East (51),-79.39098359999998,43.7703171
B&E,2016.0,Break and Enter,D22,9,Edenbridge-Humber Valley (9),-79.5114594,43.6839638
Assault,2016.0,Assault,D42,132,Malvern (132),-79.2200775,43.8132553
Robbery With Weapon,2016.0,Robbery,D41,126,Dorset Park (126),-79.28771970000003,43.7642632
Robbery With Weapon,2016.0,Robbery,D41,126,Dorset Park (126),-79.28771970000003,43.7642632
Assault,2016.0,Assault,D33,42,Banbury-Don Mills (42),-79.3323364,43.7311211
Assault,2016.0,Assault,D55,62,East End-Danforth (62),-79.3015976,43.68767929999999
B&E,2016.0,Break and Enter,D23,5,Elms-Old Rexdale (5),-79.5559845,43.7169495
Robbery - Other,2016.0,Robbery,D42,132,Malvern (132),-79.2257462,43.8122215
Assault,2016.0,Assault,D42,117,L'Amoreaux (117),-79.3157654,43.7967758
Assault,2016.0,Assault,D13,109,Caledonia-Fairbank (109),-79.46054840000002,43.689003
Assault With Weapon,2016.0,Assault,D22,9,Edenbridge-Humber Valley (9),-79.5114594,43.6839638
Assault,2016.0,Assault,D14,81,Trinity-Bellwoods (81),-79.41886140000003,43.644207
B&E,2016.0,Break and Enter,D42,116,Steeles (116),-79.3083344,43.8156776
Assault,2016.0,Assault,D51,75,Church-Yonge Corridor (75),-79.3785324,43.65985870000001
B&E,2016.0,Break and Enter,D42,129,Agincourt North (129),-79.2662048,43.8049393
Robbery - Swarming,2016.0,Robbery,D51,71,Cabbagetown-South St.James Town (71),-79.3772125,43.6636009
Robbery - Other,2016.0,Robbery,D51,75,Church-Yonge Corridor (75),-79.38052370000003,43.66465
B&E W'Intent,2016.0,Break and Enter,D52,78,Kensington-Chinatown (78),-79.3906631,43.6524124
Robbery - Mugging,2016.0,Robbery,D42,131,Rouge (131),-79.2110214,43.8179092
B&E,2016.0,Break and Enter,D22,14,Islington-City Centre West (14),-79.5489807,43.6488075
Robbery - Purse Snatch,2016.0,Robbery,D41,127,Bendale (127),-79.2587891,43.7490158
Assault With Weapon,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.4845428,43.7368889
Aggravated Assault,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.4845428,43.7368889
Assault With Weapon,2016.0,Assault,D12,29,Maple Leaf (29),-79.4818802,43.709774
Assault,2016.0,Assault,D12,29,Maple Leaf (29),-79.4818802,43.709774
Assault With Weapon,2016.0,Assault,D23,1,West Humber-Clairville (1),-79.6034622,43.7191582
Assault With Weapon,2016.0,Assault,D31,27,York University Heights (27),-79.4887619,43.7545166
Assault With Weapon,2016.0,Assault,D31,27,York University Heights (27),-79.4887619,43.7545166
Assault With Weapon,2016.0,Assault,D41,127,Bendale (127),-79.252037,43.745491
Assault With Weapon,2016.0,Assault,D41,127,Bendale (127),-79.252037,43.745491
Assault,2016.0,Assault,D43,131,Rouge (131),-79.1316223,43.7807045
Assault,2016.0,Assault,D42,118,Tam O'Shanter-Sullivan (118),-79.3177872,43.7710342
B&E,2016.0,Break and Enter,D42,118,Tam O'Shanter-Sullivan (118),-79.3177872,43.7710342
Assault Peace Officer,2016.0,Assault,D32,36,Newtonbrook West (36),-79.4160004,43.7816391
Assault,2016.0,Assault,D14,80,Palmerston-Little Italy (80),-79.4206772,43.65928270000001
Assault - Resist/ Prevent Seiz,2016.0,Assault,D14,81,Trinity-Bellwoods (81),-79.40772249999998,43.65648270000001
Assault,2016.0,Assault,D11,90,Junction Area (90),-79.48200229999998,43.66934970000001
Robbery - Vehicle Jacking,2016.0,Robbery,D54,54,O'Connor-Parkview (54),-79.3013992,43.7002602
Robbery - Vehicle Jacking,2016.0,Robbery,D54,54,O'Connor-Parkview (54),-79.3013992,43.7002602
Assault,2016.0,Assault,D11,93,Dovercourt-Wallace Emerson-Junction (93),-79.4392929,43.6633987
Assault,2016.0,Assault,D31,26,Downsview-Roding-CFB (26),-79.48204040000002,43.7463875
B&E,2016.0,Break and Enter,D32,34,Bathurst Manor (34),-79.4414063,43.75494000000001
Assault With Weapon,2016.0,Assault,D54,61,Taylor-Massey (61),-79.29733279999998,43.6949196
Assault With Weapon,2016.0,Assault,D54,61,Taylor-Massey (61),-79.29733279999998,43.6949196
Assault,2016.0,Assault,D54,61,Taylor-Massey (61),-79.29733279999998,43.6949196
Assault,2016.0,Assault,D51,71,Cabbagetown-South St.James Town (71),-79.3730621,43.6631927
B&E,2016.0,Break and Enter,D54,58,Old East York (58),-79.3348465,43.6965981
Assault,2016.0,Assault,D11,88,High Park North (88),-79.452713,43.6572876
B&E,2016.0,Break and Enter,D32,35,Westminster-Branson (35),-79.4460526,43.7859192
B&E,2016.0,Break and Enter,D33,46,Pleasant View (46),-79.3381958,43.7891693
Discharge Firearm - Recklessly,2016.0,Assault,D53,95,Annex (95),-79.39984129999998,43.6743774
B&E,2016.0,Break and Enter,D55,64,Woodbine Corridor (64),-79.3181,43.6759338
B&E,2016.0,Break and Enter,D33,52,Bayview Village (52),-79.3709183,43.76948170000001
Assault,2016.0,Assault,D12,30,Brookhaven-Amesbury (30),-79.4780655,43.7086601
