Neighbourhood Name,Hood_ID,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),  Average after-tax income of households in 2015 ($),Unemployment rate,Population,Average age
City of Toronto,,4334.0,398135.0,340270.0,1229555.0,336670.0,426945.0,66000.0,81495.0,8.2,2797575.0,41.3402223354155
Agincourt North,129.0,3929.0,3840.0,3705.0,11305.0,4230.0,6045.0,925.0,427037.0,9.8,30050.0,44.238269550748754
Agincourt South-Malvern West,128.0,3034.0,3075.0,3360.0,9965.0,3265.0,4105.0,555.0,278390.0,9.8,24325.0,42.34244604316547
Alderwood,20.0,2435.0,1760.0,1235.0,5220.0,1825.0,2015.0,320.0,168602.0,6.1,12375.0,42.78828282828283
Annex,95.0,10863.0,2360.0,3750.0,15040.0,3480.0,5910.0,1040.0,792507.0,6.7,31580.0,45.042273590880306
Banbury-Don Mills,42.0,2775.0,3605.0,2730.0,10810.0,3555.0,6975.0,1640.0,493486.0,7.2,29315.0,47.05824663141736
Bathurst Manor,34.0,3377.0,2325.0,1940.0,6655.0,2030.0,2940.0,710.0,251583.0,7.2,16600.0,43.289909638554214
Bay Street Corridor,76.0,14097.0,1695.0,6860.0,13065.0,1760.0,2420.0,330.0,352218.0,10.2,26130.0,37.35065059318791
Bayview Village,52.0,4195.0,2415.0,2505.0,10310.0,2540.0,3615.0,610.0,354894.0,7.7,21995.0,43.05989997726756
Bayview Woods-Steeles,49.0,3240.0,1515.0,1635.0,4490.0,1825.0,3685.0,740.0,253036.0,8.0,13890.0,48.07091432685385
Bedford Park-Nortown,39.0,4209.0,4555.0,3210.0,8410.0,3075.0,3980.0,660.0,720203.0,5.5,23890.0,40.36155295102554
Beechborough-Greenbrook,112.0,3614.0,1120.0,855.0,2750.0,885.0,965.0,145.0,109880.0,11.4,6720.0,40.252232142857146
Bendale,127.0,4011.0,4550.0,4605.0,12050.0,3535.0,5250.0,900.0,326482.0,8.8,30890.0,41.379248947879574
Birchcliffe-Cliffside,122.0,3765.0,3345.0,2440.0,9075.0,3520.0,3910.0,630.0,369161.0,8.8,22920.0,43.005999127399654
Black Creek,24.0,6282.0,4600.0,3290.0,8525.0,2425.0,2870.0,370.0,261560.0,12.7,22080.0,37.322463768115945
Blake-Jones,69.0,8134.0,1405.0,885.0,3605.0,940.0,895.0,115.0,154132.0,8.5,7845.0,38.536647546207774
Briar Hill-Belgravia,108.0,7791.0,1855.0,1655.0,6740.0,1925.0,2100.0,310.0,190243.0,8.7,14585.0,41.81522111758656
Bridle Path-Sunnybrook-York Mills,41.0,1040.0,1435.0,1425.0,3090.0,1525.0,1785.0,245.0,1392010.0,8.0,9505.0,42.64334560757496
Broadview North,57.0,6764.0,1470.0,1040.0,5680.0,1435.0,1865.0,255.0,126349.0,8.2,11745.0,42.729885057471265
Brookhaven-Amesbury,30.0,5045.0,3360.0,2460.0,7625.0,2185.0,2130.0,285.0,176688.0,10.0,18045.0,38.05264616237185
Cabbagetown-South St. James Town,71.0,8335.0,800.0,1035.0,5855.0,1715.0,2250.0,305.0,301145.0,8.0,11960.0,46.302048494983275
Caledonia-Fairbank,109.0,6464.0,1490.0,1220.0,4570.0,1350.0,1325.0,165.0,132879.0,7.2,10120.0,40.36166007905138
Casa Loma,96.0,5683.0,1200.0,1080.0,4555.0,1465.0,2675.0,395.0,545338.0,6.6,11370.0,46.67985927880387
Centennial Scarborough,133.0,2479.0,2150.0,1850.0,5030.0,1955.0,2385.0,160.0,215135.0,7.6,13530.0,41.28658536585366
Church-Yonge Corridor,75.0,23044.0,1260.0,5060.0,18780.0,3235.0,3010.0,250.0,443734.0,8.5,31595.0,40.79071055546764
Clairlea-Birchmount,120.0,3632.0,4565.0,3495.0,11940.0,3360.0,3630.0,660.0,350777.0,8.7,27650.0,39.783273056057865
Clanton Park,33.0,3979.0,2765.0,1910.0,7470.0,1935.0,2375.0,400.0,168893.0,6.1,16855.0,40.28018392168496
Cliffcrest,123.0,2273.0,2575.0,2145.0,6070.0,2445.0,2695.0,370.0,248846.0,9.7,16300.0,41.6361963190184
Corso Italia-Davenport,92.0,7478.0,1910.0,1545.0,6930.0,1740.0,2015.0,300.0,304000.0,7.2,14440.0,41.37032548476454
Danforth,66.0,8554.0,1675.0,920.0,4370.0,1195.0,1515.0,195.0,260052.0,6.2,9870.0,40.88981762917933
Danforth East York,59.0,7881.0,3020.0,1450.0,7930.0,2135.0,2655.0,365.0,334260.0,6.9,17555.0,41.00441469666762
Don Valley Village,47.0,6441.0,4065.0,3280.0,11860.0,3145.0,4700.0,665.0,414411.0,9.6,27715.0,41.747699801551505
Dorset Park,126.0,4146.0,4250.0,3155.0,10485.0,3330.0,3780.0,790.0,251476.0,9.7,25790.0,40.87689026754556
Dovercourt-Wallace Emerson-Junction,93.0,9819.0,4480.0,3925.0,19790.0,3935.0,4515.0,595.0,594477.0,7.2,37240.0,40.6266111707841
Downsview-Roding-CFB,26.0,2337.0,5725.0,4340.0,15045.0,4380.0,5535.0,870.0,562794.0,7.9,35895.0,40.915656776709845
Dufferin Grove,83.0,8540.0,1285.0,1065.0,6680.0,1235.0,1515.0,175.0,128586.0,7.5,11955.0,41.45587620242576
East End-Danforth,62.0,8038.0,3735.0,2210.0,9990.0,2805.0,2650.0,310.0,304010.0,8.2,21700.0,39.4397465437788
Edenbridge-Humber Valley,9.0,2840.0,2120.0,1805.0,5940.0,2385.0,3290.0,665.0,441052.0,6.1,16205.0,45.03856834310398
Eglinton East,138.0,7051.0,4180.0,3130.0,9180.0,2825.0,3505.0,560.0,343031.0,10.8,23380.0,39.84035500427716
Elms-Old Rexdale,5.0,3306.0,1805.0,1440.0,3700.0,1255.0,1275.0,145.0,123119.0,10.0,9620.0,38.40826403326403
Englemount-Lawrence,32.0,6466.0,4805.0,3030.0,8385.0,2430.0,3725.0,955.0,293189.0,8.9,23330.0,39.8226532361766
Eringate-Centennial-West Deane,11.0,2171.0,2635.0,2405.0,6910.0,2855.0,3765.0,565.0,352269.0,7.4,19135.0,43.82336033446564
Etobicoke West Mall,13.0,6582.0,1695.0,1460.0,5025.0,1600.0,2060.0,505.0,132460.0,7.9,12345.0,43.04961522883759
Flemingdon Park,44.0,9026.0,4385.0,3060.0,9185.0,2335.0,2980.0,285.0,261233.0,10.6,22230.0,37.7791273054431
Forest Hill North,102.0,8054.0,2060.0,1500.0,5390.0,1725.0,2135.0,350.0,258469.0,7.4,13160.0,41.723974164133736
Forest Hill South,101.0,4380.0,1365.0,1355.0,4235.0,1530.0,2260.0,325.0,784645.0,5.6,11070.0,44.39205058717254
Glenfield-Jane Heights,25.0,5864.0,5790.0,4520.0,11590.0,3605.0,5005.0,700.0,410012.0,11.5,31210.0,39.597805190644024
Greenwood-Coxwell,65.0,8582.0,2460.0,1305.0,7240.0,1765.0,1640.0,200.0,216423.0,7.2,14610.0,39.26522929500342
