Neighbourhood Name,MCI,number_of_crime
Agincourt North,Assault,77
Agincourt North,Auto Theft,16
Agincourt North,Break and Enter,49
Agincourt North,Robbery,13
Agincourt North,Theft Over,5
Agincourt North,bicycle theft,2
Agincourt South-Malvern West,Assault,144
Agincourt South-Malvern West,Auto Theft,26
Agincourt South-Malvern West,Break and Enter,61
Agincourt South-Malvern West,Robbery,21
Agincourt South-Malvern West,Theft Over,12
Agincourt South-Malvern West,bicycle theft,3
Alderwood,Assault,39
Alderwood,Auto Theft,17
Alderwood,Break and Enter,26
Alderwood,Robbery,11
Alderwood,Theft Over,10
Alderwood,bicycle theft,3
Annex,Assault,258
Annex,Auto Theft,19
Annex,Break and Enter,123
Annex,Robbery,34
Annex,Theft Over,20
Annex,bicycle theft,122
Banbury-Don Mills,Assault,86
Banbury-Don Mills,Auto Theft,7
Banbury-Don Mills,Break and Enter,56
Banbury-Don Mills,Robbery,21
Banbury-Don Mills,Theft Over,9
Banbury-Don Mills,bicycle theft,5
Bathurst Manor,Assault,65
Bathurst Manor,Auto Theft,24
Bathurst Manor,Break and Enter,34
Bathurst Manor,Robbery,10
Bathurst Manor,Theft Over,5
Bathurst Manor,bicycle theft,4
Bay Street Corridor,Assault,727
Bay Street Corridor,Auto Theft,25
Bay Street Corridor,Break and Enter,121
Bay Street Corridor,Robbery,128
Bay Street Corridor,Theft Over,44
Bay Street Corridor,bicycle theft,320
Bay Street Corridor,homicide,1
Bayview Village,Assault,87
Bayview Village,Auto Theft,14
Bayview Village,Break and Enter,33
Bayview Village,Robbery,13
Bayview Village,Theft Over,5
Bayview Village,bicycle theft,24
Bayview Woods-Steeles,Assault,35
Bayview Woods-Steeles,Auto Theft,18
Bayview Woods-Steeles,Break and Enter,33
Bayview Woods-Steeles,Theft Over,2
Bayview Woods-Steeles,bicycle theft,1
Bedford Park-Nortown,Assault,40
Bedford Park-Nortown,Auto Theft,31
Bedford Park-Nortown,Break and Enter,98
Bedford Park-Nortown,Robbery,14
Bedford Park-Nortown,Theft Over,9
Bedford Park-Nortown,bicycle theft,21
Beechborough-Greenbrook,Assault,60
Beechborough-Greenbrook,Auto Theft,8
Beechborough-Greenbrook,Break and Enter,12
Beechborough-Greenbrook,Robbery,13
Beechborough-Greenbrook,Theft Over,3
Beechborough-Greenbrook,bicycle theft,1
Bendale,Assault,251
Bendale,Auto Theft,45
Bendale,Break and Enter,56
Bendale,Robbery,67
Bendale,Theft Over,14
Bendale,bicycle theft,11
Bendale,homicide,3
Birchcliffe-Cliffside,Assault,197
Birchcliffe-Cliffside,Auto Theft,16
Birchcliffe-Cliffside,Break and Enter,77
Birchcliffe-Cliffside,Robbery,22
Birchcliffe-Cliffside,Theft Over,6
Birchcliffe-Cliffside,bicycle theft,22
Black Creek,Assault,264
Black Creek,Auto Theft,52
Black Creek,Break and Enter,28
Black Creek,Robbery,37
Black Creek,Theft Over,6
Black Creek,bicycle theft,4
Black Creek,homicide,1
Blake-Jones,Assault,69
Blake-Jones,Auto Theft,4
Blake-Jones,Break and Enter,24
Blake-Jones,Robbery,14
Blake-Jones,bicycle theft,12
Blake-Jones,homicide,1
Briar Hill-Belgravia,Assault,64
Briar Hill-Belgravia,Auto Theft,16
Briar Hill-Belgravia,Break and Enter,31
Briar Hill-Belgravia,Robbery,21
Briar Hill-Belgravia,Theft Over,5
Briar Hill-Belgravia,bicycle theft,7
Bridle Path-Sunnybrook-York Mills,Assault,20
Bridle Path-Sunnybrook-York Mills,Auto Theft,12
Bridle Path-Sunnybrook-York Mills,Break and Enter,52
Bridle Path-Sunnybrook-York Mills,Robbery,2
Bridle Path-Sunnybrook-York Mills,Theft Over,4
Bridle Path-Sunnybrook-York Mills,bicycle theft,6
Broadview North,Assault,61
Broadview North,Auto Theft,8
Broadview North,Break and Enter,15
Broadview North,Robbery,14
Broadview North,Theft Over,2
Broadview North,bicycle theft,13
Brookhaven-Amesbury,Assault,110
Brookhaven-Amesbury,Auto Theft,28
Brookhaven-Amesbury,Break and Enter,31
Brookhaven-Amesbury,Robbery,26
Brookhaven-Amesbury,Theft Over,1
Brookhaven-Amesbury,bicycle theft,3
Cabbagetown-South St. James Town,Assault,120
Cabbagetown-South St. James Town,Auto Theft,8
Cabbagetown-South St. James Town,Break and Enter,53
Cabbagetown-South St. James Town,Robbery,24
Cabbagetown-South St. James Town,Theft Over,7
Cabbagetown-South St. James Town,bicycle theft,65
Caledonia-Fairbank,Assault,80
Caledonia-Fairbank,Auto Theft,13
Caledonia-Fairbank,Break and Enter,13
Caledonia-Fairbank,Robbery,24
Caledonia-Fairbank,Theft Over,1
Caledonia-Fairbank,bicycle theft,5
Casa Loma,Assault,38
Casa Loma,Auto Theft,5
Casa Loma,Break and Enter,19
Casa Loma,Robbery,1
Casa Loma,Theft Over,7
Casa Loma,bicycle theft,13
Centennial Scarborough,Assault,47
Centennial Scarborough,Auto Theft,5
Centennial Scarborough,Break and Enter,19
Centennial Scarborough,Robbery,13
Centennial Scarborough,Theft Over,2
Centennial Scarborough,bicycle theft,6
Church-Yonge Corridor,Assault,537
Church-Yonge Corridor,Auto Theft,24
Church-Yonge Corridor,Break and Enter,144
Church-Yonge Corridor,Robbery,114
Church-Yonge Corridor,Theft Over,38
Church-Yonge Corridor,bicycle theft,198
Church-Yonge Corridor,homicide,3
Clairlea-Birchmount,Assault,245
Clairlea-Birchmount,Auto Theft,44
Clairlea-Birchmount,Break and Enter,87
Clairlea-Birchmount,Robbery,46
Clairlea-Birchmount,Theft Over,16
