Neighbourhood Name,MCI,number_of_crime,Hood_ID,population_density,Unemployment rate,Population,Average age,household_income
Agincourt North,Assault,77.0,129.0,3929.0,9.8,30050.0,44.238269550748754,427037.0
Agincourt North,Auto Theft,16.0,129.0,3929.0,9.8,30050.0,44.238269550748754,427037.0
Agincourt North,Break and Enter,49.0,129.0,3929.0,9.8,30050.0,44.238269550748754,427037.0
Agincourt North,Robbery,13.0,129.0,3929.0,9.8,30050.0,44.238269550748754,427037.0
Agincourt North,Theft Over,5.0,129.0,3929.0,9.8,30050.0,44.238269550748754,427037.0
Agincourt North,bicycle theft,2.0,129.0,3929.0,9.8,30050.0,44.238269550748754,427037.0
Agincourt South-Malvern West,Assault,144.0,128.0,3034.0,9.8,24325.0,42.34244604316547,278390.0
Agincourt South-Malvern West,Auto Theft,26.0,128.0,3034.0,9.8,24325.0,42.34244604316547,278390.0
Agincourt South-Malvern West,Break and Enter,61.0,128.0,3034.0,9.8,24325.0,42.34244604316547,278390.0
Agincourt South-Malvern West,Robbery,21.0,128.0,3034.0,9.8,24325.0,42.34244604316547,278390.0
Agincourt South-Malvern West,Theft Over,12.0,128.0,3034.0,9.8,24325.0,42.34244604316547,278390.0
Agincourt South-Malvern West,bicycle theft,3.0,128.0,3034.0,9.8,24325.0,42.34244604316547,278390.0
Alderwood,Assault,39.0,20.0,2435.0,6.1,12375.0,42.78828282828283,168602.0
Alderwood,Auto Theft,17.0,20.0,2435.0,6.1,12375.0,42.78828282828283,168602.0
Alderwood,Break and Enter,26.0,20.0,2435.0,6.1,12375.0,42.78828282828283,168602.0
Alderwood,Robbery,11.0,20.0,2435.0,6.1,12375.0,42.78828282828283,168602.0
Alderwood,Theft Over,10.0,20.0,2435.0,6.1,12375.0,42.78828282828283,168602.0
Alderwood,bicycle theft,3.0,20.0,2435.0,6.1,12375.0,42.78828282828283,168602.0
Annex,Assault,258.0,95.0,10863.0,6.7,31580.0,45.042273590880306,792507.0
Annex,Auto Theft,19.0,95.0,10863.0,6.7,31580.0,45.042273590880306,792507.0
Annex,Break and Enter,123.0,95.0,10863.0,6.7,31580.0,45.042273590880306,792507.0
Annex,Robbery,34.0,95.0,10863.0,6.7,31580.0,45.042273590880306,792507.0
Annex,Theft Over,20.0,95.0,10863.0,6.7,31580.0,45.042273590880306,792507.0
Annex,bicycle theft,122.0,95.0,10863.0,6.7,31580.0,45.042273590880306,792507.0
Banbury-Don Mills,Assault,86.0,42.0,2775.0,7.2,29315.0,47.05824663141736,493486.0
Banbury-Don Mills,Auto Theft,7.0,42.0,2775.0,7.2,29315.0,47.05824663141736,493486.0
Banbury-Don Mills,Break and Enter,56.0,42.0,2775.0,7.2,29315.0,47.05824663141736,493486.0
Banbury-Don Mills,Robbery,21.0,42.0,2775.0,7.2,29315.0,47.05824663141736,493486.0
Banbury-Don Mills,Theft Over,9.0,42.0,2775.0,7.2,29315.0,47.05824663141736,493486.0
Banbury-Don Mills,bicycle theft,5.0,42.0,2775.0,7.2,29315.0,47.05824663141736,493486.0
Bathurst Manor,Assault,65.0,34.0,3377.0,7.2,16600.0,43.289909638554214,251583.0
Bathurst Manor,Auto Theft,24.0,34.0,3377.0,7.2,16600.0,43.289909638554214,251583.0
Bathurst Manor,Break and Enter,34.0,34.0,3377.0,7.2,16600.0,43.289909638554214,251583.0
Bathurst Manor,Robbery,10.0,34.0,3377.0,7.2,16600.0,43.289909638554214,251583.0
Bathurst Manor,Theft Over,5.0,34.0,3377.0,7.2,16600.0,43.289909638554214,251583.0
Bathurst Manor,bicycle theft,4.0,34.0,3377.0,7.2,16600.0,43.289909638554214,251583.0
Bay Street Corridor,Assault,727.0,76.0,14097.0,10.2,26130.0,37.35065059318791,352218.0
Bay Street Corridor,Auto Theft,25.0,76.0,14097.0,10.2,26130.0,37.35065059318791,352218.0
Bay Street Corridor,Break and Enter,121.0,76.0,14097.0,10.2,26130.0,37.35065059318791,352218.0
Bay Street Corridor,Robbery,128.0,76.0,14097.0,10.2,26130.0,37.35065059318791,352218.0
Bay Street Corridor,Theft Over,44.0,76.0,14097.0,10.2,26130.0,37.35065059318791,352218.0
Bay Street Corridor,bicycle theft,320.0,76.0,14097.0,10.2,26130.0,37.35065059318791,352218.0
Bay Street Corridor,homicide,1.0,76.0,14097.0,10.2,26130.0,37.35065059318791,352218.0
Bayview Village,Assault,87.0,52.0,4195.0,7.7,21995.0,43.05989997726756,354894.0
Bayview Village,Auto Theft,14.0,52.0,4195.0,7.7,21995.0,43.05989997726756,354894.0
Bayview Village,Break and Enter,33.0,52.0,4195.0,7.7,21995.0,43.05989997726756,354894.0
Bayview Village,Robbery,13.0,52.0,4195.0,7.7,21995.0,43.05989997726756,354894.0
Bayview Village,Theft Over,5.0,52.0,4195.0,7.7,21995.0,43.05989997726756,354894.0
Bayview Village,bicycle theft,24.0,52.0,4195.0,7.7,21995.0,43.05989997726756,354894.0
Bayview Woods-Steeles,Assault,35.0,49.0,3240.0,8.0,13890.0,48.07091432685385,253036.0
Bayview Woods-Steeles,Auto Theft,18.0,49.0,3240.0,8.0,13890.0,48.07091432685385,253036.0
Bayview Woods-Steeles,Break and Enter,33.0,49.0,3240.0,8.0,13890.0,48.07091432685385,253036.0
Bayview Woods-Steeles,Theft Over,2.0,49.0,3240.0,8.0,13890.0,48.07091432685385,253036.0
Bayview Woods-Steeles,bicycle theft,1.0,49.0,3240.0,8.0,13890.0,48.07091432685385,253036.0
Bedford Park-Nortown,Assault,40.0,39.0,4209.0,5.5,23890.0,40.36155295102554,720203.0
Bedford Park-Nortown,Auto Theft,31.0,39.0,4209.0,5.5,23890.0,40.36155295102554,720203.0
Bedford Park-Nortown,Break and Enter,98.0,39.0,4209.0,5.5,23890.0,40.36155295102554,720203.0
Bedford Park-Nortown,Robbery,14.0,39.0,4209.0,5.5,23890.0,40.36155295102554,720203.0
Bedford Park-Nortown,Theft Over,9.0,39.0,4209.0,5.5,23890.0,40.36155295102554,720203.0
Bedford Park-Nortown,bicycle theft,21.0,39.0,4209.0,5.5,23890.0,40.36155295102554,720203.0
Beechborough-Greenbrook,Assault,60.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,Auto Theft,8.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,Break and Enter,12.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,Robbery,13.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,Theft Over,3.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
Beechborough-Greenbrook,bicycle theft,1.0,112.0,3614.0,11.4,6720.0,40.252232142857146,109880.0
